id,tweets,date,location,username
1205540720834158593,Update to Motor Vehicle Accident (MVA) on South bound US-231 at SR-390. Roadway obstructions have been removed. Eme… https://t.co/lDWoZXbp3J,2019-12-13 17:31:20,,BayCountyTMC
1205526817374949376,Motor Vehicle Accident (MVA) on South bound US-231 at SR-390. The inside lane is blocked.  Emergency responders are… https://t.co/SbFPWaxokA,2019-12-13 16:36:05,,BayCountyTMC
1205283094422532096,Update to Motor Vehicle Accident (MVA) on North bound Tyndall Pkwy at Harvey St. The MVA has been cleared.,2019-12-13 00:27:37,,BayCountyTMC
1205282289359425536,Update to Motor Vehicle Accident (MVA) on South bound US-231 at Baldwin Rd. The MVA has been cleared.,2019-12-13 00:24:25,,BayCountyTMC
1205281670007525376,Update to Motor Vehicle Accident (MVA) on North bound Tyndall Pkwy at Harvey St. Roadway obstructions have been rem… https://t.co/zntLnUXMl4,2019-12-13 00:21:57,,BayCountyTMC
1205274744267902976,Update to Motor Vehicle Accident (MVA) on South bound US-231 at Baldwin Rd. Roadway obstructions have been removed.… https://t.co/U4wpXw8lxC,2019-12-12 23:54:26,,BayCountyTMC
1205274415786844164,Motor Vehicle Accident (MVA) on North bound Tyndall Pkwy at Harvey St. The North and South bound inside lanes are b… https://t.co/hobF5PpVL2,2019-12-12 23:53:08,,BayCountyTMC
1205272340038344706,Motor Vehicle Accident (MVA) on South bound US-231 at Baldwin Rd. The lanes are blocked.  Emergency responders are… https://t.co/ScUuQauJNw,2019-12-12 23:44:53,,BayCountyTMC
1205270436340256771,"Update to Motor Vehicle Accident (MVA) on North bound SR-77, South of Baldwin Rd. The MVA has been cleared.",2019-12-12 23:37:19,,BayCountyTMC
1205264500334776320,"Update to Motor Vehicle Accident (MVA) on North bound SR-77, South of Baldwin Rd. The roadway obstructions have bee… https://t.co/3hiIkY6SgU",2019-12-12 23:13:44,,BayCountyTMC
1205261305340411908,"Motor Vehicle Accident (MVA) on North bound SR-77, South of Baldwin Rd. The inside lane is blocked.  Emergency resp… https://t.co/XA11x0v3TA",2019-12-12 23:01:02,,BayCountyTMC
1205148314099949569,Update: Motor vehicle accident on 23rd Street in front of Sam's Club. Lane has been cleared.,2019-12-12 15:32:03,,BayCountyTMC
1205142196695052289,Motor vehicle accident on 23rd Street in front of Sam's Club. Eastbound outside lane is blocked. Use caution. https://t.co/KYpyrJ4fbD,2019-12-12 15:07:44,,BayCountyTMC
1205124518802575360,Motor vehicle accident on Baldwin Road @ Minnesota Avenue. Eastbound lanes are blocked. Emergency personnel on scen… https://t.co/eFVE96MTq4,2019-12-12 13:57:30,,BayCountyTMC
1205102626758631425,Happening Now: US 98 eastbound between Beck Avenue and 15th Street has been re-opened.,2019-12-12 12:30:30,,BayCountyTMC
1205098418525351937,Happening Now: US 98 eastbound between Beck Avenue and 15th Street is closed due to an earlier motor vehicle accide… https://t.co/QJYf5mAszE,2019-12-12 12:13:47,,BayCountyTMC
1204900967008919558,Update to Motor Vehicle Accident (MVA) just south of SR-20 on US-231. The MVA has been cleared.,2019-12-11 23:09:11,,BayCountyTMC
1204878214646173699,Update to Motor Vehicle Accident (MVA) just south of SR-20 on US-231. The roadway obstructions have been removed. E… https://t.co/eBPezRlf83,2019-12-11 21:38:46,,BayCountyTMC
1204866948321951744,"Motor Vehicle Accident just south of HWY20 on US231, the north bound outside lane is blocked. Use Caution, law enforcement is onsite.",2019-12-11 20:54:00,,BayCountyTMC
1204401494495289346,Update: Motor vehicle accident on US 98 east of the Hathaway Bridge. All lanes have been cleared.,2019-12-10 14:04:27,,BayCountyTMC
1204397088727011328,Motor vehicle accident on US 98 east of the Hathaway Bridge. Westbound overpass outside lanes are blocked. Emergenc… https://t.co/meNWnonbJ3,2019-12-10 13:46:57,,BayCountyTMC
1204126299998081025,Update: Motor vehicle accident on PCB Pkwy east of SR 79. All lanes have been cleared.,2019-12-09 19:50:56,,BayCountyTMC
1204121922977615873,Motor vehicle accident on PCB Pkwy east of SR 79. Eastbound outside lanes are blocked. Emergency personnel on scene. Use caution.,2019-12-09 19:33:32,,BayCountyTMC
1204049313132929025,Update: Motor vehicle accident on PCB Pkwy (Westbound) @ Allison Av. All lanes have been cleared.,2019-12-09 14:45:01,,BayCountyTMC
1204031711480352774,Update: Motor vehicle accident on PCB Pkwy @ Allison Av. Westbound inside lane is blocked. Expect delay. https://t.co/xWzVwGdXVU,2019-12-09 13:35:04,,BayCountyTMC
